PPN	EPN	Jahr	Verfasser	Titel	Umfang	Hinweise	Einband	Signatur	Link
655194959	1235781348	1691	Veiel, Albert *1672-1704* ; ID: gnd/122790944	[Stammbuch Albert Veiel]	215 Bl.	Enth. auch zahlr. leere Bl.	Einband: Schwarzes Maroquin, wenig Goldprägung. Goldschnitt, punziert. 'A. V.' Goldprägung, Vorderdeckel. Spiegel und Vorsätze Schneckenmarmorpapier.	Stb 78	http://haab-digital.klassik-stiftung.de/viewer/ppnresolver?id=1289239657
655194967	1235781356	1693	Veiel, Albert *1672-1704* ; ID: gnd/122790944	[Stammbuch Albert Veiel]	270 Bl.	Enth. auch zahlr. leere Bl.	Einband: Kalbleder, in der Art von Kiebitzpapier gefärbt, Goldprägung. Goldschnitt, punziert. Spiegel und Vorsätze Blumenmarmorpapier.	Stb 79	http://haab-digital.klassik-stiftung.de/viewer/ppnresolver?id=1289243085
655194975	1235781364	1722	Veiel, Elias *1703-1749* ; ID: gnd/129302929	[Stammbuch Elias Veiel]	243 Bl.	Enth. auch zahlr. leere Bl.	Einband: Kalbleder, in der Art von Kiebitzpapier gefärbt; 'E. V. || 1722' (Silberprägung, Vorderdeckel). Goldschnitt, an Kapital und Ecken punziert. Spiegel und vorderes Vorsatz Wellenmarmorpapier.	Stb 80	http://haab-digital.klassik-stiftung.de/viewer/ppnresolver?id=1289734550
655194983	1235781372	1722	Veiel, Elias *1703-1749* ; ID: gnd/129302929	[Stammbuch Elias Veiel]	263 Bl.	Enth. auch zahlr. leere Bl.	Einband: Kalbleder, in der Art von Kiebitzpapier gefärbt; 'E. V. || 1722' (Goldprägung, Vorderdeckel). Goldschnitt, an Kapital und Ecken punziert. Spiegel und vorderes Vorsatz Wellenmarmorpapier.	Stb 81	http://haab-digital.klassik-stiftung.de/viewer/ppnresolver?id=1289739056
655195009	1235781399	1734	Spengler, Georg Matthias *1718-1789* ; ID: gnd/1018035893	[Stammbuch Georg Matthias Spengler jr.]	82 Bl.	Enth. auch leere Bl.	Einband: Rindleder, der äußere Rahmen dunkelbraun, das Mittelfeld in der Art von Kiebitzpapier gefärbt; Goldprägung, Streicheisenlinien, Filete, Medaillons. Goldschnitt. Spiegel und Vorsätze rotes Kleisterpapier (Herrnhuter Art).	Stb 83	http://haab-digital.klassik-stiftung.de/viewer/ppnresolver?id=1289936315
655195017	1235781402	1707	Spengler, Georg Matthias ; ID: gnd/1018037101	[Stammbuch Georg Matthias Spengler sen.]	165 Bl.	Enth. auch leere Bl.	Einband: Brauner Kalblederband. Goldschnitt. Spiegel und Vorsätze Brokatpapier auf blauviolettem Grund (Akanthusranken mit Ziege, Ente, Truthahn, Hund nach links, Pfau mit Schleppe, Putto)	Stb 84	http://haab-digital.klassik-stiftung.de/viewer/ppnresolver?id=1289947821
655195025	1235781410	1625	Kuechell, Mathäus ; ID: gnd/1018038175	[Stammbuch Kuechell, Mathäus]	262 Bl.	Enth. auch leere Bl.	Einband: Brauner Kalblederband. Goldschnitt, Kanten beschnitten, teilweise Textverlust.	Stb 85	http://haab-digital.klassik-stiftung.de/viewer/ppnresolver?id=1289950768
655195041	1235781437	1717	Braun, Abraham ; ID: gnd/1018228071	[Stammbuch Abraham Braun]	151 Bl.	Enth. auch leere Bl.	Einband: Braun, schwarz und rot lackiertes Kalbleder, Goldprägung. Goldschnitt.	Stb 87	http://haab-digital.klassik-stiftung.de/viewer/ppnresolver?id=1289970874
65519505X	1235781445	1654	Besserer, Marx Philipp *1634-1666* ; ID: gnd/1018435999	[Stammbuch Marx Philipp Besserer]	224 Bl.	Enth. auch leere Bl.	Einband: Schwarzes Maroquin, Goldprägung. Goldschnitt, punziert.	Stb 88	http://haab-digital.klassik-stiftung.de/viewer/ppnresolver?id=1290032300
655195068	1235781453	1733	Preu, Georg Gottlieb *1710-1758* ; ID: gnd/1018480110	[1. Stammbuch Georg Gottlieb Preu]	176 Bl.	Enth. auch leere Bl.	Einband: Kalbleder, in der Art von Kiebitzpapier gefärbt, Goldprägung. Goldschnitt, an Ecken und Kapital punziert.	Stb 90	http://haab-digital.klassik-stiftung.de/viewer/ppnresolver?id=1290147515
655195084	123578147X	1659	Biermann, Johann ; ID: gnd/1017414238	[Stammbuch Johann Biermann sen.]	195 Bl.	Enth. auch leere Bl.	Einband: Braunes Kalbleder, vergoldete Streicheisenlinien. Goldschnitt.	Stb 92	http://haab-digital.klassik-stiftung.de/viewer/ppnresolver?id=1281419214
655195106	1235781496	1685	Biermann, Johann *-1721* ; ID: gnd/1017411298	[Stammbuch Johann Biermann jun.]	177 Bl.	Enth. auch leere Bl.	Einband: Kalbleder, in der Art von Kiebitzpapier gefärbt, Goldprägung. Goldschnitt. Spiegel und Vorsätze Kamm-Marmorpapier.	Stb 94	http://haab-digital.klassik-stiftung.de/viewer/ppnresolver?id=1281422320
655195114	123578150X	1661	Leberwurst, Thomas *-1666* ; ID: gnd/1018532358	[Stammbuch Thomas Leberwurst]	277 Bl.	Enth. auch zahlr. leere Bl.	Einband: Braunes Kalbleder, vergoldete Streicheisenlinien. Goldschnitt. Spiegel und Vorsätze Wellenmarmorpapier. - Zehn Bl. doppelseitiges Wellenmarmorpapier zwischengeheftet.	Stb 95	http://haab-digital.klassik-stiftung.de/viewer/ppnresolver?id=1290731101
655195122	1235781518	1619	Schad, Bernhard *1600-1666* ; ID: gnd/1018533494	[Stammbuch Bernhard Schad]	130 Bl.	Enth. auch leere Bl.	Einband: Hellbraunes Kalbleder, Goldprägung, Streicheisenlinien, Mittelmedaillon.	Stb 97	http://haab-digital.klassik-stiftung.de/viewer/ppnresolver?id=1290722501
655195130	1235781526	1687	Baier, Johann *1666-1711* ; ID: gnd/121302059	[Stammbuch Johann Baier sen.]	165 Bl.	Enth. auch leere Bl.	Einband: Dunkelrotes Maroquin (stark nachgedunkelt) mit reicher Goldprägung. Goldschnitt, punziert. Spiegel Wellenmarmorpapier.	Stb 98	http://haab-digital.klassik-stiftung.de/viewer/ppnresolver?id=1294560727
655195149	1235781534	1730	Baier, Johann ; ID: gnd/1018535039	[Stammbuch Johann Baier jun.]	184 Bl.	Enth. auch leere Bl.	Einband: Rotes Maroquin mit vergoldeten Streicheisenlinien. Goldschnitt.	Stb 99	http://haab-digital.klassik-stiftung.de/viewer/ppnresolver?id=1294564803
655195157	1235781542	1590	Schad, Hans$cvon *1575-1634* ; ID: gnd/101229997X	[Stammbuch Hans Schad (Fragment)]	18 Bl.		Einband: Braunes Kiebitzpapier über Pappe, für Wagner neu gebunden. - Die alten Stammbuchblätter wurden dabei auf neue Blätter montiert.	Stb 100	http://haab-digital.klassik-stiftung.de/viewer/ppnresolver?id=1294566563
655195173	1235781569	1738	Preu, Georg Gottlieb *1710-1758* ; ID: gnd/1018480110	[2. Stammbuch Georg Gottlieb Preu]	142 Bl.	Enth. auch leere Bl.	Einband: Geglättetes Pergament, in der Mitte grün gesprenkelt, der 2,5 cm breite Rand rosa durchgefärbt. Spiegel goldener Bronzefirnisdruck auf orangefarbig gestrichenem Buntpapier, signiert: SP BEY G. C. STOY.	Stb 102	http://haab-digital.klassik-stiftung.de/viewer/ppnresolver?id=1294573195
655195181	1235781577	1727	Narciss, Johann Andreas ; ID: gnd/1018734392	[Stammbuch Johann Andreas Narciss]	144 Bl.	Enth. auch leere Bl.	Einband: Braunes Kalbleder mit reicher Goldprägung. - 'I. A. N' (Vorderdeckel); '1728' (Rückdeckel). Beide Prägungen von einer Adelskrone (mit Blättern und Perlen) überhöht, darunter stilisierte Schwingen.	Stb 103	http://haab-digital.klassik-stiftung.de/viewer/ppnresolver?id=129458183X
655195211	1235781607	1731	Frick, Johann Michael *1709-1765* ; ID: gnd/1018796517	[Stammbuch Johann Michael Frick]	177 Bl.	Enth. auch zahlr. leere Bl.	Einband: Braunes Kalbleder mit Goldprägung, Stehkantenvergoldung. Goldschnitt.	Stb 106	http://haab-digital.klassik-stiftung.de/viewer/ppnresolver?id=129503204X
65519522X	1235781615	1726	Frick, Johann Michael *1709-1765* ; ID: gnd/1018796517	[Stammbuch Johann Michael Frick]	187 Bl.	Enth. auch leere Bl.	Einband: Braunes Kalbleder, Rücken mit Goldprägung, Stehkanten blindgeprägt. Goldschnitt. Spiegel Bronzefirnisdruck auf dunkelrot gestrichenem Papier.	Stb 107	http://haab-digital.klassik-stiftung.de/viewer/ppnresolver?id=1295048779
655195246	123578164X	1651	Rauner, Narziß *1631-1714* ; ID: gnd/124518362	[Stammbuch Narziß Rauner]	242 Bl.	Enth. auch leere Bl.	Einband: Schwarzes Maroquin mit sparsamer Goldprägung. Goldschnitt, an den Rändern wenig punziert.	Stb 109	http://haab-digital.klassik-stiftung.de/viewer/ppnresolver?id=1284122298
655195254	1235781658	1677	Zäch, Gottfried ; ID: gnd/121949079	[Stammbuch Gottfried Zäch]	153 Bl.	Enth. auch leere Bl.	Einband: Braunes Kalbleder.	Stb 110	http://haab-digital.klassik-stiftung.de/viewer/ppnresolver?id=1295083809
655195262	1235781666	1651	Jenisch, Georg Paul *1634-1684* ; ID: gnd/115732500	[Stammbuch Georg Paul Jenisch]	335 Bl.	Enth. auch leere Bl.	Einband: Schwarzes Kalbleder, Golprägung. Goldschnitt.	Stb 111	http://haab-digital.klassik-stiftung.de/viewer/ppnresolver?id=1295620561
655195270	1235781674	1647	König, Johann ; ID: gnd/1011858142	[Stammbuch Johann König]	149 Bl.	Enth. auch leere Bl.	Einband: Schwarzes Maroquin, Goldprägung. Goldschnitt.	Stb 112	http://haab-digital.klassik-stiftung.de/viewer/ppnresolver?id=1253546274
655195327	1235781720	1697	Schleich, Johann Theobald *1680-1731* ; ID: gnd/1016549288	[Stammbuch Johann Theobald Schleich]	182 Bl.	Enth. auch zahlr. leere Bl.	Einband: Braunes Kalbleder mit Goldprägung I.T.S.V. || 1.6.9.8 (Vorderdeckel); Stehkantenvergoldung. Goldschnitt. Spiegel und Vorsätze Bronzefirnisdruck auf weinrot gestrichenem Papier.	Stb 116	http://haab-digital.klassik-stiftung.de/viewer/ppnresolver?id=1295606631
655195335	1235781739	1640	Coler, Johann Carl *1619-* ; ID: gnd/1014793637	[Stammbuch Johann Carl Coler]	258 Bl.	Enth. auch leere Bl.	Einband: Über Holz schwarzes Maroquin mit reicher Goldprägung, Stehkantenvergoldung. Goldschnitt.	Stb 117	http://haab-digital.klassik-stiftung.de/viewer/ppnresolver?id=126891455X
655195343	1235781755	1594	Schad, Hans Albrecht *-1652* ; ID: gnd/1011893436	[Stammbuch Hans Albrecht Schad]	210 Bl.	Enth. auch leere Bl.	Einband: Geglättetes Pergament mit dunkler Prägung, Streicheisenlinien Medaillonplatte. H. A. S. || 1594 (Prägung, Vorderdeckel).	Stb 118	http://haab-digital.klassik-stiftung.de/viewer/ppnresolver?id=1252152558
655195351	1235781763	1622	Neubronner, Tobias ; ID: gnd/1019135964	[2. Stammbuch Tobias Neubronner]	74 Bl.		Einband: Braunes Kiebitzpapier über Pappe, für Wagner neu gebunden; rotgesprenkelter Schnitt. Der Sammelband wurde für Wagner gebunden, nachdem er nur einzelne Blätter vorgefunden hatte; ein Teil der ursprünglichen Blätter wurde dabei auf neue Blätter montiert.	Stb 119	http://haab-digital.klassik-stiftung.de/viewer/ppnresolver?id=129564228X
65519536X	1235781771	1706	Halder, Johann Daniel ; ID: gnd/1014799619	[Stammbuch Johann Daniel Halder]	166 Bl.	Enth. auch zahlr. leere Bl.	Einband: Braunes Kalbleder mit wenig Goldprägung. Goldschnitt. Spiegel und Vorsätze Brokatpapier auf gelb gestrichenem Grund, Jagdszenen (Jäger mit Jagdhorn, Hund, Ziegenbock, Hirsch, Hase, Reiter mit Lanze, vgl. Stoy, 435).	Stb 120	http://haab-digital.klassik-stiftung.de/viewer/ppnresolver?id=1269606808
655195378	123578178X	1740	Halder, Albrecht Daniel *-1745* ; ID: gnd/1019138823	[Stammbuch Albrecht Daniel Halder]	146 Bl.		Einband: Dunkelrotes Maroquin. Goldschnitt. Spiegel Brokatpapier auf weinrot gestrichenem Grund.	Stb 121	http://haab-digital.klassik-stiftung.de/viewer/ppnresolver?id=1296219828
655195394	1235781801	1658	Pöckh, Johann Ludwig *1639-1663* ; ID: gnd/10248080X	[Stammbuch Johann Ludwig Pöckh]	99 Bl.	Enth. auch leere Bl.	Einband: Schwarzes Maroquin mit wenig Goldprägung. I. L. P. V. || 1658 (Blindprägung, Vorderdeckel). Goldschnitt, punziert. Spiegel Kamm-Marmorpapier.	Stb 123	http://haab-digital.klassik-stiftung.de/viewer/ppnresolver?id=1296261441
655195408	123578181X	1567	Schmidt, Johannes ; ID: gnd/1014514444	[Stammbuch Johannes Schmidt]	260 S.	Enth. auch leere Bl.	Einband: Kalbleder mit Goldprägung, Streicheisenlinien, Mittelplatte vorderer Deckel: Debora mit Schwert und Mondsichel; hinterer Deckel: Debora auf Diwan, Unterschrift: DELBORA [sic] 1564. Punzierter Goldschnitt.	Stb 124	http://haab-digital.klassik-stiftung.de/viewer/ppnresolver?id=127021599X
655195424	1235781836	1627	Adler, Georg Siegmund *1608-1642* ; ID: gnd/1011936291	[Stammbuch Georg Siegmund Adler]	286 Bl.	Enth. auch leere Bl.	Einband: Schwarzer Maroquineinband mit reicher Goldprägung; Spuren zweier Schleifenbänder. Goldschnitt, punziert.	Stb 149	http://haab-digital.klassik-stiftung.de/viewer/ppnresolver?id=1255418761
655195432	1235781844	1639	Stephani, Johann Carl *1620-1683* ; ID: gnd/12478397X	[Stammbuch Johann Carl Stephani]	286 Bl.	Enth. auch leere Bl.	Einband: Schwarze Haifischhaut (Chagrin) über Holzdeckeln, blindgeprägte Streicheisenlinien, Reste von vier rotseidenen Schleifenbändern. Goldschnitt.	Stb 200	http://haab-digital.klassik-stiftung.de/viewer/ppnresolver?id=1255787155
655195440	1235781852	1641	Christl, Heinrich ; ID: gnd/1011938707	[Stammbuch Heinrich Christl]	165 Bl.	Enth. auch leere Bl.	Einband: Schwarzes Maroquin mit reicher Goldprägung, Rollen, Platten, Filete; Stehkantenvergoldung. Goldschnitt.	Stb 206	http://haab-digital.klassik-stiftung.de/viewer/ppnresolver?id=1255778210
655195459	1235781860	1658	Hoffmann, Christian ; ID: gnd/1011978954	[Stammbuch Christian Hoffmann]	329 Bl.	Enth. auch leere Bl.	Einband: Schwarzes Maroquin (über Holz) mit Blind- und Goldprägung: Streicheisenlinien, Filete, Eckmedaillons, Mittelmedaillon. 'C. H. G. S. || M. DC. LVIII.' (Goldprägung, Vorderdeckel). Goldschnitt, punziert und mit mehrfarbiger Malerei versehen. Spiegel mehrfarbiges Kamm-Marmorpapier. Im vorderen Spiegel Metalloblate, Kreuzigungsszene.	Stb 218	http://haab-digital.klassik-stiftung.de/viewer/ppnresolver?id=125231664X
655195467	1235781879	1672	Fürst, Georg Paul ; ID: gnd/1011981203	[Stammbuch Georg Paul Fürst]	275 Bl.	Enth. auch leere Bl.	Einband: Braungesprenkeltes Kalbleder über Holz, in der Art von Kiebitzpapier gefärbt, wenig Goldprägung, Perlstab, Eckfleurons. 'G P F V N || 1672' (Goldprägung, Vorderdeckel, in den Zwischenräumen kleine Blütenstempel). Stehkantenvergoldung. Blau und rot gesprenkelter Schnitt. Spiegel und Vorsätze Kamm-Marmorpapier.	Stb 230	http://haab-digital.klassik-stiftung.de/viewer/ppnresolver?id=1255818700
655195475	1235781887	1699	Wilhelmi, Johann Jacob *-1721* ; ID: gnd/1011991934	[2. Stammbuch Johann Jacob Wilhelmi]	146 Bl.	Enth. auch leere Bl.	Einband: Blauviolettfarbenes Kleisterpapier (Herrnhuter Art) über Holz. Verblaßter Goldschnitt	Stb 246	http://haab-digital.klassik-stiftung.de/viewer/ppnresolver?id=1273350863
655195505	1235781917	1625	Weiß, Johann Friedrich *1606-1659* ; ID: gnd/128527528	[Stammbuch Johann Friedrich Weiß]	58 Bl.	Enth. auch leere Bl.	Einband: Dunkelbraunes Maroquin mit Goldprägung und Stehkantenvergoldung. Goldschnitt. - Pergament.	Stb 267	http://haab-digital.klassik-stiftung.de/viewer/ppnresolver?id=1252320639
655195513	1235781925	1644	Ludolf, Hiob *1624-1704* ; ID: gnd/118817167	[Stammbuch Hiob Ludolf]	271 Bl.	Enth. auch leere Bl.	Einband: Schwarzer Maroquineinband mit Blindprägung, Streicheisenlinien, quadratische Medaillons in den Ecken, rautenförmige in der Mitte beider Deckel, 'H L' (Goldprägung, Vorderdeckel). Goldschnitt.	Stb 285	http://haab-digital.klassik-stiftung.de/viewer/ppnresolver?id=1255792531
655195521	1235781933	1603	$PJohann Ernst$nI.$lSachsen-Weimar, Herzog *1594-1626* ; ID: gnd/102239452	[Stammbuch Herzog Johann Ernst d.J. von Sachsen-Weimar]	178 Bl.	Enth. auch leere Bl.	Einband: Braunes Kalbleder mit reicher Goldprägung (italienischer Stil), Spuren von vier Schleifenbändern. Rückenvergoldung 'I E H Z S || 1603'. Stehkantenvergoldung. Punzierter Goldschnitt. Blätter mit Kupferstichrahmen, in unregelmäßigem Abstand dazwischen rahmenlose Blätter mit kleinen Kupferstichvignetten.	Stb 292	http://haab-digital.klassik-stiftung.de/viewer/ppnresolver?id=1244101982
655195548	123578195X	1620	$PAnton Heinrich$lOldenburg, Graf *1604-1623* ; ID: gnd/120100177	[Stammbuch Graf Anton Heinrich von Oldenburg-Delmenhorst]	222 Bl.	Enth. auch leere Bl.	Einband: Brokat- und Paillettenstickerei in Hochrelief auf schwarzem Samt, von dem nur noch das Seidengewebe vorhanden ist. Die Stickerei zeigt das gevierte Wappen von Oldenburg-Delmenhorst: Feld 1 und 4: Ein Ankersteckkreuz (Herrschaft Delmenhorst). Feld 2 und 3: In Rot zwei goldene Balken (Grafschaft Oldenburg), darüber der Löwe von Jever. Helmzier auf gekröntem Helm ein goldenes Ankersteckkreuz zwischen einem roten und einem blauen Büffelhorn, beide mit goldenen Binden versehen. Helmdecken rot-golden und blau-golden. Anlässlich der Restaurierung wurde das Material des Vorder- und Rückendeckels auf neue Seide aufgenäht und neue, farblich den alten entsprechende Schleifenbänder an den Deckeln befestigt.	Stb 294	http://haab-digital.klassik-stiftung.de/viewer/ppnresolver?id=1252873972
655195564	1235781976	1621	Luedel, Johann Sixtus ; ID: gnd/1011475146	[Stammbuch Johann Sixtus Luedel]	230 Bl.	Enth. auch leere Bl.	Einband: Rotes Kleisterpapier, Rücken weißes Schafleder. Punzierter Goldschnitt.	Stb 301	http://haab-digital.klassik-stiftung.de/viewer/ppnresolver?id=1252142005
655195580	1235781992	1722	Dorsch, Christoph *1676-1732* ; ID: gnd/122496523	[Stammbuch Johann Christoph Dorsch]	223 Bl.	Enth. auch leere Bl.	Einband: Brauner Kalbledereinband, Rücken mit Goldprägung. Goldschnitt, am Kapital punziert. Spiegel Modeldruckpapier. Das Buch befindet sich in einer Kassette, die mit dem gleichen Modeldruckpapier ausgeschlagen ist. Das Äußere der Kassette ist mit einer juristischen Pergamenthandschrift kaschiert (14. Jh., Text und umlaufender Kommentar). Auf das hintere Vorsatz montiert Brief von Georg Friedrich Heinlein, Altdorf 1722, an Dorsch.	Stb 325	http://haab-digital.klassik-stiftung.de/viewer/ppnresolver?id=1255349662
655195645	1235782069	1591	Welser von Wunderburg, Jakob *1576-1645* ; ID: gnd/1012215997	[Stammbuch Jakob Welser von Wunderburg]	311 Bl.	Enth. auch leere Bl.	Einband: Geglättetes Pergament mit Kantenüberstand, Goldprägung, Streicheisenlinien, Eckfleurons. Vorder- und Rückdeckel je ein ovales Medaillon in rautenförmigem Rahmen, darin Barbara mit Kreuz und Kelch. Reste von vier ledernen Schleifenbändern. Schnitt rot und blau diagonal gesprenkelt (sehr verblaßt). 'I. W. N. || 1591' (Prägung, Vorderdeckel).	Stb 356	http://haab-digital.klassik-stiftung.de/viewer/ppnresolver?id=1257096508
655195653	1235782085	1593	Pfintzing von Henfenfeld, Carl *1578-1629* ; ID: gnd/1012220605	[Stammbuch Carl Pfintzing von Henfenfeld]	162 Bl.	Enth. auch leere Bl.	Einband: Rotbraunes Rindleder mit reicher Goldprägung, Streicheisenlinien, Filete, Eckfleurons, Mittelmedaillon auf Vorder- und Rückdeckel, Innenkantenvergoldung.	Stb 357	http://haab-digital.klassik-stiftung.de/viewer/ppnresolver?id=1257099507
655195661	1235782093	1564	Böhne, Johann Georg ; ID: gnd/120054760	[Stammbuch Johann Georg Böhne]	70 Bl., 86 Bl.	Enth. auch leere Bl.	Einband: Schwarzes Maroquin, blindgeprägte Streicheisenlinien. Metallschließe. Goldschnitt. Spiegel und Vorsätze Brokatpapier auf türkisfarben gestrichenem Grund; Hase, Jäger, Pfau, Hirsch Wiedehopf, Reiter, Hund, Löwe, Schwan, Fuchs, Reh.	Stb 358	http://haab-digital.klassik-stiftung.de/viewer/ppnresolver?id=1268942464
655195688	1235782115	1620	Kaplíř von Sulevic, Felix ; ID: gnd/1012305473	[Stammbuch Felix Kaplíř von Sulevic]	184 Bl.	Enth. auch leere Bl.	Einband: Rotes Roßleder mit Hand- und Preßvergoldung, Semé-Stil, quer abwechselnd Lilien und Tulpen, jeweils von einem Bogen mit Punktsaum umgeben; in der Mitte des Vorder- und Rückdeckels ein kleines (leeres) Oval (15 x 20 mm). Reste zweier Dornenschließen. Steh- und Innenkantenvergoldung. Goldschnitt mit umlaufender Punzierung (nur Blätter mit Seitenzählung 1-336; die 16 nachträglich angebundenen Blätter mit einfachem Goldschnitt).	Stb 370	http://haab-digital.klassik-stiftung.de/viewer/ppnresolver?id=1257449079
655195696	1235782123	1568	Tetzel, Jobst Friedrich *1556-1612* ; ID: gnd/139586326	[Stammbuch Jobst Friedrich Tetzel]	221 Bl.	Enth. auch leere Bl.	Einband: Pergament ohne Unterlage (Kopert), vier braune geknüpfte Seidenschleifenbänder. Rotschnitt.	Stb 371	http://haab-digital.klassik-stiftung.de/viewer/ppnresolver?id=1257454447
65519570X	1235782131	1638	Volckamer, Johann Georg *1616-1693* ; ID: gnd/100865208	[2. Stammbuch Johann Georg Volckamer]	204 Bl.	Enth. auch leere Bl.	Einband: Dunkelbraunes Maroquin mit Handvergoldung, sogenannter Fächereinband. Ganze Rosette im Deckelzentrum, aus Einzelstempeln zusammengesetzte Viertelrosetten in den Ecken des Innenrahmens, in den Ecken kleine Sonnenradstempel; Filete und Einzelstempel in den Außenrahmen, Streicheisenlinien. Goldschnitt. Pappschuber mit Kiebitzpapier bezogen, Hals und innen mit Bronzefirnispapier auf fliederfarben gestrichenem Grund bezogen.	Stb 375	http://haab-digital.klassik-stiftung.de/viewer/ppnresolver?id=1258167565
655195718	123578214X	1593		[Stammbuch einer unbekannten adligen Stiftsdame eines evangelischen Stiftes aus Sächsischem, Braunschweig-Lüneburger oder Schleswig-Holsteiner Adel]	213 Bl.	Enth. auch zahlr. leere Bl.	Einband: Rindleder mit reicher, bunt und gold eingefärbter Prägung, Blüten, Ranken. Mittelplatte (8,8x5,2) Vorderdeckel: Kurfürst Johann Friedrich; Rückdeckel (8,8x5,2) kursächsisches Wappen. Befestigungsspuren von vier Schleifenbändern. Goldschnitt, punziert und bunt eingefärbt.	Stb 385	http://haab-digital.klassik-stiftung.de/viewer/ppnresolver?id=1261253426
655195750	1235782182	1652	Bentz, Johannes Jakob *1637-1694* ; ID: gnd/1011577291	[Stammbuch Johannes Jakob Bentz]	734 Bl.	Enth. auch leere Bl.	Einband: Rotes Maroquin mit Handvergoldung, sogenannter Fächereinband. Ganze Rosette im Deckelzentrum, aus Einzelstempeln zusammengesetzte Viertelrosetten in den Ecken des Außenrahmens, in den Ecken kleine Sonnenradstempel. Stehkantenvergoldung. Goldschnitt. Spiegel Marmorpapier.	Stb 404	http://haab-digital.klassik-stiftung.de/viewer/ppnresolver?id=1257310143
655199748	1235786536	1629	Pehrisch, Christian *1610-* ; ID: gnd/121345564	[Stammbuch Christian Pehrisch]	282 Bl.	Enth. auch leere Bl.	Einband: Schwarzes Maroquin mit Goldprägung, Streicheisenlinien, Eckmedaillons. Ovale Platte mit dem Kursächsischen Wappen, von einem Engelskopf überhöht, Prägung 'C P G || 1629' (Vorderdeckel); von einem Engel gehaltener Adler, nach links blickend, mit geviertem Wappenschild (Rückdeckel). Punzierter Goldschnitt. Spuren zweier grünseidener Schleifenbänderpaare.	Stb 455	http://haab-digital.klassik-stiftung.de/viewer/ppnresolver?id=1261639014
655199861	123578665X	1825	Haeseler, Pauline Johanna Charlotte Auguste Friederike$cvon *1802-1882* ; ID: gnd/1011693321	[Stammbuch Pauline von Haeseler]	53 Bl.	Enth. auch leere Bl.	Einband: Grüne, geprägte Pappe mit goldgepreßten Streicheisenlinien, Stehkantenvergoldung, 'Calendrier de l'année 1825.' (Goldprägung, Vorderdeckel).	Stb 514	http://haab-digital.klassik-stiftung.de/viewer/ppnresolver?id=1245337718
655200029	1235786838	1805	Köhler, Karl *-1811* ; ID: gnd/1013558758	[Stammbuch Karl Köhler]	55 Bl.		Einband: Dunkel eingefärbtes (Schweins-?) Leder mit verblaßter Goldbordüre. Rückenvergoldung, 'Meinen || Freunden || und || Freundinnen' (zwei grüne Lederrückenschilder), Buchblock kopfüber eingebunden.	Stb 519	http://haab-digital.klassik-stiftung.de/viewer/ppnresolver?id=1257430815
655200320	1235787176	1623	Zorer, Georg Ludwig *1608-1667* ; ID: gnd/1014386160	[Stammbuch Georg Ludwig Zorer]	282 S.		Einband: Braunes Rindleder mit reicher Goldprägung. In der Mitte des Vorder- und Rückdeckels ein Medaillon mit Fortuna (Goldprägung). Goldschnitt.	Stb 901a	http://haab-digital.klassik-stiftung.de/viewer/ppnresolver?id=1269921096
655200428	1235787281	1540	Kohlhans, Heinrich *1552-1594* ; ID: gnd/1014772842	[Stammbuch Heinrich Kohlhans]	7, 382, 2 Bl.		Einband: Blindgeprägter heller Schweinslederband der Renaissance; Holz mit abgeschrägten Kanten; vier Doppelbünde; Kapital farblos umstochen; Streicheisenlinien und Rollen (4 antike Köpfe und 4 Wappen, eins davon das sächsische). D. M. L. (Prägung, Vorderdeckel). Mittelplatte (79x41) Vorderdeckel: Halbfigur der nach rechts gewendeten Justitia in Renaissancekleidung mit Schwert und Waage, darunter Text: 'IVSTICIE QVISQVIS PICTV-||RAM LVMINE CERNIS DIC || EST IVSTVS IVSTA || QVE FACTA PROBAT'; Mittelplatte (79x41) Rückdeckel: Halbfigur der nach links gewendeten Lucretia in Renaissancekleidung mit Dolch, darunter Text: 'CASTA TVLIT MAGNAM || FORME LVCRECIA LAVDE[M] || FACTA TAMEN MAGIS EST || VVLNERE CLARA SVA'; je fünf Buckel auf Vorder- und Rückdeckel; Reste zweier Hakenschließen. - Marginalien und Eintragungen teilweise beschnitten.	Oct princ 1	http://haab-digital.klassik-stiftung.de/viewer/ppnresolver?id=127219342X
655200436	1235787303	1555	Benewitz, Maternus ; ID: gnd/1058102559	[Stammbuch Maternus Benewitz]	8 Bl., 656 S., 39 Bl.		Einband: Blindgeprägter Renaissanceband, braunes Kalbleder über Holz, drei Doppelbünde, Kapital grün-farblos umstochen, Reste zweier Hakenschließen, Streicheisenlinien und Rollen. Punzierter Goldschnitt. - 'M A || 1555' (Prägung auf dem Vorderdeckel für Maternus Apianus [=Benewitz], Plattenstempel nicht mehr zu identifizieren). - Plattenstempel 'Auferstehung' mit dem Text: MORS ERO MORS TUA MORS (hinterer Deckel, Haebler I, 378, X), sehr abgerieben.	Oct princ 2	http://haab-digital.klassik-stiftung.de/viewer/ppnresolver?id=1272378977
